tj,pers
"Ҳамзамон Омрико эълом кард, ин кишвар дар иҷлоси муқаддамотии гурӯҳи",همزمان ، آمریکا اعلام کرد این کشور در اجلاس مقدماتی گروه
ширкат нахоҳад кард,شرکت نخواهد کرد
Интихоботи раёсати ҷумҳурии Укройн қарор аст рӯзи,انتخابات ریاست جمهوری اوکراین قرار است روز
шаҳрҳое дар шарқи Укройн,شهرهایی در شرق اوکراین
ва ҳамчунин дар амалиёте дар Гурҷистон дар соли,و همچنین در عملیاتی در گرجستان در سال
нишон медиҳад,نشان می‌دهد
Аз он замон то соли,از آن زمان تا سال
Қонуни ваҳдати Инглистон ва Искотланд,قانون وحدت انگلستان و اسکاتلند
дар порлумонҳои ду кишвар ва имзои,در پارلمان‌های دو کشور و امضای
Дар он сол бо ташкили кишвари,در آن سال ، با تشکیل کشور
Бритониё,بریتانیا
Ӯ гуфт ки орзу дорад рӯзе нахуствазири Покистон шавад,او گفت که آرزو دارد روزی نخست‌وزیر پاکستان شود
Дар ҷараёни тирандозӣ ва бумбгузориҳое дар шимоли Ироқ дастикам,در جریان تیراندازی و بمب گذاری‌هایی در شمال عراق دست کم
нафар кушта ва беш аз,نفر کشته و بیش از
нафар захмӣ шудаанд,نفر زخمی‌شده‌اند
Давлати Ҳинд ҳам дастури баррасии ин мавзуъро додааст,دولت هند هم دستور بررسی این موضوع را داده است
ҳадиаксари хештандорӣ,حداکثر خویشتن داری
"-ро нишон диҳад ва афзуд, ки",را نشان دهد و افزود که
иқдоми низомӣ амнияти Исроилро дар дарозмуддат афзоиш нахоҳад дод,اقدام نظامی امنیت اسرائیل را در درازمدت افزایش نخواهد داد
Ин тавофуқ дар аввалин рӯзи сафари оқои Убомо ба Ҳинд имзо шуд,این توافق در اولین روز سفر آقای اوباما به هند امضا شد
Онҳо хоҳони ихроҷи фаврии сафири Исроил аз Миср ҳастанд,آن‌ها خواهان اخراج فوری سفیر اسرائیل از مصر هستند
Кори бонк ибтидо бо,کار بانک ابتدا با
милёрд дулор будҷа оғоз мешавад,میلیارد دلار بودجه آغاز می‌شود
Ин пешниҳод чандон мавриди таваҷҷӯҳ қарор нагирифт,این پیشنهاد چندان مورد توجه قرار نگرفت
паҳпод,پهپاد
касе кунтрули онҳоро дар майдони набард дар даст надорад,کسی کنترل آن‌ها را در میدان نبرد در دست ندارد
Ин тавофуқнома то соли,این توافقنامه تا سال
мелодӣ,میلادی
хуршедӣ,خورشیدی
Илова бар ин суръати рушди мағз дар навзодони писар рӯзона,علاوه بر این سرعت رشد مغز در نوزادان پسر روزانه
милиметри мукаъаб бештар аз навзодони духтар аст,میلی‌متر مکعب بیشتر از نوزادان دختر است
"Бо ин вуҷуд, Омрико хоҳони раъйгирӣ дар бораи ин пешнавис шуд",با این وجود ، آمریکا خواهان رای‌گیری درباره این پیش نویس شد
Онҳо дар ин амалиёт аз тонку рокет истифода карданд,آن‌ها در این عملیات از تانک و راکت استفاده کردند
Райъдиҳандагон барои раъй додан бояд дар,رای‌دهندگان برای رای دادن باید در
Фасоди молӣ ва ҳамчунин ҳазинаи болои махориҷи Ҷоми Ҷаҳонии,فساد مالی و همچنین هزینه بالای مخارج جام جهانی
ва Улампики,و المپیک
норизоятиҳое дар Брозил барангехтааст,نارضایتی‌هایی در برزیل برانگیخته است
дарҳамшикаста,در هم شکسته
аст,است
"Оқои Гондӣ, писари Суниё, беваи итолиёии Роҷив Гондист",آقای گاندی ، پسر سونیا بیوه ایتالیایی راجیو گاندیست
Аз Суниё Гондӣ ба унвони қудратмандтарин зани Ҳинд ёд мешавад,از سونیا گاندی به عنوان قدرتمند‌ترین زن هند یاد می‌شود
Беш аз,بیش از
"Ин вазорат эълом карда, ки нақши сарбозони бритониёӣ дар набарди",این وزارت اعلام کرده که نقش سربازان بریتانیایی در نبرد
Сангин,سنگین
Нефти хоми Омрико рӯзи душанбе дар бозори Ню-йурк як дулору,نفت خام آمریکا روز دوشنبه در بازار نیویورک یک دلار و
сент афзоиш ёфт ва дар поёни рӯз,سنت افزایش یافت و در پایان روز
дулору,دلار و
сент муъомила шуд,سنت معامله شد
Дар ҳамин ҳол баҳои нефти Брент дар бозори Лондон,در همین حال بهای نفت برنت در بازار لندن
