tj,pers
Beriev Be-10,فهرست هواگردهای نظامی فعال روسیه
Beriev Be-12,برییف بی‌ئی-۱۲
Beriev Be-2,برییف بی‌ئی-۲
Beriev Be-200,برییف بی‌ئی-۲۰۰
Beriev Be-30,توپولوف تی‌یو-۱۴۲
Beriev Be-4,برییف بی‌ئی-۴
Beriev Be-6,برییف بی‌ئی-۱۲
Beriev Be-8,برییف بی‌ئی-۸
Beriev MDR-5,ISO 3166-2:MD
Beriev R-1,فهرست شرکت‌های هواپیمایی روسیه
Bering Air,هوا
Барқ Ҷонкат,الکتریسیته
Berkshire Concept 70,مارس اینکورپوریتد
Берлин,برلین
Бритс (ноҳияи Берлин),دیوار برلین
Гропиусштадт,گورستان
Лихтенберг (Берлин),گرگور گیزی
Моабит,موأب
Berliner-Joyce P-16,برلینر جویر پی-۱۶
Berliner-Joyce XF3J,برلینر جویس ایکس‌اف۳جی
Bernard 160,عملیات اورلرد
Bernard 18,برنارد میداف
Bernard 190,فراماسونری
Bernard 200,میهن (شرکت)
Bernard 260,خداحافظ رفیق (فیلم ۱۹۶۸)
Bernard 60,جرج برنارد شاو
Bernard 80 GR,نیکولا تسلا
Bernard 82,برنارد میداف
Bernard AB 1,فراماسونری
Bernard H.52,فراماسونری
Bernard H.V.120,برنارد اچ.وی.۱۲۰
Bernard H.V.220,برنارد اچ.وی.۲۲۰
Bernard H.V.40,برنارد اچ.وی.۴۰
Bernard H.V.41,برنارد اچ.وی.۴۱
Bernard H.V.42,برنارد اچ.وی.۴۲
Bernard H 110,فرگشت انسان
Бернд Айхингер,برند آیشینگر
Bertelsmann,دیوید چایلدز
Best Off Nynja,نینجا
Гармалаф,گرمایش جهانی
Бифидобактерияҳо,در کنار پروانه‌ها
GMM 25,پخش تلویزیونی جام ملت‌های اروپا ۲۰۱۶
Шаҳри қаҳрамонон,لیگ قهرمانان آسیا
Bild,بزرگ کردن آلت مردانه
Bilsam Ultra Cruiser,کشتی جنگی
Biman Bangladesh Airlines,فرودگاه بین‌المللی دبی
Binance,دوک‌نشین
Биннур Кая,بیننور کایا
Бипаша Басу,فشار
Bird Wing Imperial,پرنده
Birdman Atlas,شیء ناشناس پرنده
Birdman Chinook,پرنده
Бишкек,اسقف
Бизон,بی‌سون
Биткуин,بیکینی
Black Clover,شبدر سیاه
Blackburn B-2,بلک‌برن بی-۲
Blackburn B-20,بلکبرن دونر
Blackburn B-3,جوزف هانری بلک‌برن
Blackburn B-54,پل اینس
Blackburn B-7,جوزف هانری بلک‌برن
Blackburn B.44,ترکیب تیم‌های جام جهانی فوتبال ۱۹۹۸
Blackburn Baffin,بلکبرن بافین
Blackburn Beagle,بلک‌برن بیگل
Blackburn Beverley,بلک‌برن بورلی
Blackburn Blackburn,باشگاه فوتبال بلکبرن روورز
Blackburn Cirrus Major,باشگاه فوتبال تراکتور
Blackburn F.3,لوک پی. بلکبرن
Blackburn Firebrand,اعتراضات آبان ۱۳۹۸ ایران
Blackburn Firecrest,اعتراضات آبان ۱۳۹۸ ایران
Blackburn G.P.,لوک پی. بلکبرن
Blackburn H.S.T.10,فرانکلین دلانو روزولت
Blackburn Iris,تیربارچی دم
Blackburn Kangaroo,کنگره
Blackburn Nautilus,بلک‌برن نوتیلوس
Blackburn Pellet,اعتراضات آبان ۱۳۹۸ ایران
Blackburn Perth,هاکان شوکور
Blackburn Ripon,بلک‌برن ریپون
Blackburn Roc,ران دیویس (بازیکن فوتبال)
Blackburn Skua,بلکبرن اسکوا
Blackburn Sydney,دوایت یورک
Blackburn Turcock,بلکبرن
Blackburn Twin Blackburn,دروغ‌گوهای کوچک زیبا
Blackburn Type E,فرگشت انسان
Blackburne Thrush,بلکبرن
Нонхӯракҳо,شکسته‌نستعلیق
Bloch MB.170,سندرم تورت
Bloch MB.200,د هاویلند آلباتروس
Bloch MB.300,فاکتور پاسخ سرم
Bloch MB.81,بلاک ام‌بی.۸۱
Блумфонтейн,شکوفه
Blogger,وبلاگ
Blue Air,هوا
Blue Panorama Airlines,ایران ایر
Blue Sky Studios,مسعود کیمیایی
Bluebird Airways,نیروی هوایی اسرائیل
Bluebird K7,اس‌اس گریپفست
Blériot-SPAD S.27,بلریوت-اسپاد اس.۲۷
Blériot-SPAD S.61,بلریو-اسپاد اس.۶۱
Blériot 110,بلریو ۱۱۰
Blériot 111,بلریو ۱۱۱
Blériot XI,بلریو ۱۱
Boeing B737,بوئینگ ۷۳۷
Boeing Insitu RQ-21 Blackjack,بوئینگ اینسیتو آر کیو-۲۱ بلک جک
Boeing Model 360,لاکهید مارتین اف-۳۵ لایتنینگ ۲
Boeing Pelican,فرودگاه بین‌المللی جونو
Bombardier 415,کانادایر سی‌ال-۲۱۵
Bombardier Dash 8,توربوپراپ
Говзанбӯр,زنبور عسل
Бӯинзаҳро,دودمان بورجا
Borajet,قورباغه
Borel Bo.11,فهرست سیارک‌ها (۱۶۰۰۱–۱۷۰۰۱)
Borel military monoplane,کشورهای عضو ناتو
Башрӯё,گستر
Boston Dynamics,شهلا حائری
Boulton & Paul Mailplane,آل پاچینو
Boulton Paul Atlantic,پیمان منع موشک‌های هسته‌ای میان‌برد
Boulton Paul Defiant,دفیانت
Boulton Paul P.32,تاریخچه هوانوردی ایران ۱۳۲۴ - ۱۲۵۶
Boulton Paul P.6,حمله ۲۰۲۲ روسیه به اوکراین
Boulton Paul P.9,حمله ۲۰۲۲ روسیه به اوکراین
Boulton Paul P.92,کانویر ایکس‌اف-۹۲
Braathens Regional Aviation,فرودگاه استکهلم-بروما
Bradley BA-200 ATAC,چلسی منینگ
Фирори мағзҳо,مغز
Brainfuck,سکته مغزی
Brantly 305,فهرست شهرها و روستاهای آلاباما
Brantly B-1,فهرست شهرها و روستاهای آلاباما
Brantly B-2,فهرست شهرها و روستاهای آلاباما
Breda A.2,تییستو
Breda A.4,بردا ای.۴
Breda A.7,بردا ای.۷
Breda A.8,زلاتان ابراهیموویچ
Breda A.9,بردا ای.۹
Breda Ba.19,بردا بی‌ای.۱۹
Breda Ba.201,بی ای.۲۰۱
Breda Ba.25,بی‌ای.۲۵ بردا
Breda Ba.27,بی‌ای.۲۷ بردا
Breda Ba.32,ترکیب تیم‌های جام ملت‌های آفریقا ۲۰۱۹
Breda Ba.33,بایگانی شماره بازیکنان فوتبال
Breda Ba.39,ترکیب تیم‌های جام ملت‌های آفریقا ۲۰۱۹
Breda Ba.44,بایگانی شماره بازیکنان فوتبال
Breda Ba.46,ترکیب تیم‌های جام ملت‌های آفریقا ۲۰۱۹
Breda Ba.64,بردا بی‌ای.۶۴
Breda Ba.65,بی‌ای.۶۵ بردا
Brewster F2A Buffalo,اف۲ای بوفالو
Brewster SB2A Buccaneer,بوکانرس اس‌بی۲ای
Brewster XA-32,برواستر ایکس‌ای-۳۲
British Aerospace Hawk 200,سپاه پاسداران انقلاب اسلامی
British Aerospace Jetstream 41,هلیوم
British Aerospace P.125,کشاورزی
British Aircraft Double Eagle,پرواز شماره ۷۵۲ هواپیمایی بین‌المللی اوکراین
British Army Dirigible No 1,امپراتوری بریتانیا
British Army airship Beta,ماشین انیگما
Китобхонаи Бритониё,حقوق‌بگیران انگلیس در ایران
Britten-Norman Defender,فهرست فعالان صلح
Britten-Norman Islander,فهرست فرودگاه‌ها بر پایه کد ایکائو: K
Britten-Norman Trislander,بریتن-نورمن تری‌آیلندر
Brock Air Services,جرج اچ. دابلیو. بوش
Brock Avion,خاندان اژدها
Brock KB-3,پریکلس
Brokaw Bullet,گلوله
Brown B-3,خرس قهوه‌ای
Нахӯдхӯрак,نگرانی
Buckeye Eclipse,ماه‌گرفتگی
Buckley F-1,ویلیام باکلی، جونیر
Budapest Aircraft Service,ایران ایر
Buddha Air,بودا
Buffalo Airways,فرودگاه بین‌المللی بوفالو نیاگارا
Buhl A-1 Autogyro,کلت کی-۲
Buhl Bull Pup,بانو و ولگرد (فیلم ۱۹۵۵)
Сохтани як сохтмон,ساختن یک ساختمان
Бурак Дениз,بوراک دنیز
Бурҷу Бириҷик,بورجو بیریجیک
Burgess Gunbus,گوسفند
Burgess Model H,فوتون
Burgess Model I,طیف اوتیسم
Butterfly Banty,پروانه
Béarn 6,به‌آرن، کبک
Қоид Сибсӣ,قبیله
Bölkow Bo 102,بی‌او ۲۰۹ مونسون
Bölkow Bo 103,مسراشمیت بولکوف بلوم
Bölkow Bo 207,بولکوف بی‌او ۲۰۷
Bücker Bü 131,تاترا
Bücker Bü 180,بوکر بی‌یو ۱۸۰
Bücker Bü 181,بی‌یو-۱۸۱ بوکر
Шафт,هیئت دولت
C,جف بیزوس
C++,C++
C-5 (blimp),دوره ۱ جدول تناوبی
CAB Minicab,تارا (خودرو)
CAB Supercab,تله‌کابین توچال
CAC 40,کک ۴۰
CAC Boomerang,فهرست وام‌واژه‌ها در فارسی
CAC CA-15,سی‌ای-۱۵ کانگورو
CAC Ceres,فهرست فرودگاه‌ها بر پایه کد ایکائو: S
CAC Sabre,ستایش (مجموعه تلویزیونی)
CAC Winjeel,وینجیل سی‌ای‌سی
CAC Wirraway,کلیموف آردی-۳۳
CAIC Z-10,سایک زد-۱۰
CAIGA Primus 150,توربوپراپ
CANSA FC.20,محمد عباس‌زاده
CANT 10,کشته‌شدگان اعتراضات سراسری ۱۴۰۱ ایران
CANT 18,حمله به کوی دانشگاه تهران (۱۳۷۸)
CANT 22,نمی‌توانم تو را فراموش کنم (فیلم)
CANT 25,اگر نمی‌توانم عشق داشته باشم، قدرت می‌خواهم
CANT 26,۲۶ اکتبر
CANT 36,راهزنان در دنیا حکومت نمی‌کنند
CANT 6,نمی‌توانم تو را فراموش کنم (فیلم)
CANT 7,راهزنان در دنیا حکومت نمی‌کنند
CANT Z.501,نوآم چامسکی
CANT Z.506,آلبرت اینشتین
CAP-1 Planalto,فلات
CAP-4 Paulistinha,سی‌ای‌پی-۴ پولیستین‌ها
CAP-5,اتومبیل‌دزدی بزرگ ۵
CASA 3000,کمپانی یونایتد فروت
CASA C-101,علی کریمی
CASA C-102,هالووین
CAUC UAV,پهپاد
CCleaner,ساقه
CD-ROM,سی‌دی-رام
CEM Air,ماهی
CFE CFE738,جنرال الکتریک جی‌ئی۳۸
Тасвири роёнаӣ,صفحهٔ اصلی
CGS Hawk,سقوط بالگرد ۲۰۲۰ نیو تایپه
CHI KC 518 Adventourer,کی‌سی۵۱۸
Идораи иттилооти марказӣ,سازمان اطلاعات مرکزی
CNA C-7,فهرست پیش‌وندهای ثبتی هواپیما
CNA C.II,هوش مصنوعی
CNA C.VI,دنیاگیری کووید-۱۹ در ایتالیا
CNA D,هوش مصنوعی
CNA Eta,ابن سینا
CNA PM.1,2020
CNN,سی‌ان‌ان
CNNA HL-6,اچ‌ال-۶
COBOL,کارول
COW Biplane,شهرستان داپلین، کارولینای شمالی
China Radio International,رادیو بین‌المللی چین
CSS,سی‌اس‌اس
CTV Television Network,تلویزیون فارسی بی‌بی‌سی
CVT M-200,بکلین ۱
CVT M-300,مرسدس-بنز کلاس-آ
CZAW Mermaid,پری دریایی
C (забони барномасозӣ),برنامه‌نویسی شیءگرا
C Sharp,جنگ جهانی دوم
Cabo Verde Airlines,کابو ورده اکسپرس
Cadet UT-1,فهرست فیلم‌های نوجوانان
JONY,یون
Cairo Aviation,ایران ایر
Гамбусаки анбор,جو سوسک
California's Gold,کالیفرنیا
Синамои Амрикои Лотинӣ,سینمای آمریکای لاتین
CallAir A-9,قضیه فیثاغورس
Camair Twin Navion,اشتون کوچر
Cambodia Angkor Air,حامل پرچم
Гули камола,گل
Cameron D-38,جام جهانی فوتبال ۲۰۲۲
Cameron D-96,زبان انگلیسی
Камерон Окасио,کامرون اوکاسیو
Канада,کانادا
Caproni Ca.311,خودارضایی مقعدی
Caproni PS.1,کاپرونی پی‌اس.۱
Caproni Vizzola F.5,زاد و ولد سگ
Caproni Vizzola F.6,زاد و ولد سگ
Caracol Television,کاراکول تلویزیون
Cargojet Airways,فرودگاه بین‌المللی ال. اف. وید
Carlson Criquet,کارلسون
CarterCopter,کارتن
Carter PAV,1980
Cartoon Network,پلنگ صورتی (شخصیت)
Caspar C 32,کسپار سی ۳۲
Caspar C 35,انفجار مقر تفنگداران دریایی آمریکا در بیروت
Қазвин,کشتزار
Caudron C.101,رنو تندر۹۰
Caudron C.109,رنو تندر۹۰
Caudron C.140,رنو ۵
Caudron C.180,رنو فلوئنس
Caudron C.190,رنو کلیو
Caudron C.21,رنو ۲۱
Caudron C.22,رنو فلوئنس
Caudron C.220,رنو کلیو
Caudron C.23,رنو کپچر
Caudron C.230,رنو ۲۱
Caudron C.240,سی ۲۸۰ فالن
Caudron C.25,رنو
Caudron C.251,رنو تندر۹۰
Caudron C.27,سی ۲۸۰ فالن
Caudron C.270,کودرون سی.۲۷۰
Caudron C.280,سی ۲۸۰ فالن
Caudron C.33,رنو کوئید
Caudron C.37,رنو ۷
Caudron C.39,رنو تندر۹۰
Caudron C.43,رنو
Caudron C.460,کودرون سی.۴۶۰
Caudron C.530 Rafale,کودرون سی.۵۳۰
Caudron C.59,کودرون سی.۵۹
Caudron C.60,کودرون سی.۶۰
Caudron C.61,رنو تندر۹۰
Caudron C.67,رنو تندر۹۰
Caudron C.68,رنو تندر۹۰
Caudron C.690,کودرون سی.۶۹۰
Caudron C.714,سی‌.۷۱۴ کودرون
Caudron C.74,موتورهای سری کا رنو
Caudron C.91,رنو تندر۹۰
Caudron C.97,رنو تندر۹۰
Caudron C.99,رنو تندر۹۰
Caudron C. 02,رنو سیمبل
Caudron G.3,کودرون جی.۳
Caudron G.4,رنو ۴
Caudron G.6,کودرون جی.۶
Caudron R.11,ماک
Caudron R.4,رنو ۴
Caudron R.6,ماک
Caudron Type A,رنو تندر۹۰
Caudron Type B,ماک
Caudron Type C,کودرون سی.۴۶۰
Caudron Type D,رنو تندر۹۰
Caudron Type E,ماک
Caudron Type F,ماک
Caudron Type H,سی‌.۷۱۴ کودرون
Caudron Type J,رنو تندر۹۰
Caudron Type K,رنو تندر۹۰
Caudron Type L,رنو تندر۹۰
Caudron Type O,داچیا
Caudron Typhon,تیفون
Central Asia’s Got Talent,شاهنشاهی ساسانی
Central Centaur IV,فهرست اجرام منظومه شمسی بر پایه اندازه
Ҷерен Морай,فرد مک‌موری
Chadwick C-122,شهرآورد مرزی‌ساید
Дибоҷ,داروی تجاوز
Cham Wings Airlines,فرودگاه بین‌المللی شهید بهشتی اصفهان
Баргчой,مشتاق اصفهانی
Chanchangi Airlines,چانچانگی ایرلاینز
Changhe Z-11,چینگ چونگ
Чарлз Прэтт,استرالیا
Шарлоттенбург-Вилмерсдорф,هالنزه
Charomskiy ACh-30,خیس شدن واژن
Chayair Sycamore,چای
Cheek to Cheek,گونه (زیست‌شناسی)
Нешчанголҳо,جلال مقامی
Chevrolet Spark,شورلت اسپارک
Ҷумҳурии Шӯравии Хитой,چین
China United Airlines,خطوط هوایی ژاپن
Chinese Aviation Museum Remotely Controlled Eagle,افغانستان
Chongqing Airlines,چونگ‌کینگ ایرلاینز
Крис Парнелл,کریس پارنل
Крис Сандерс,کریس سندرز (کارگردان)
Chrislea Airguard,گرگ
Christopher AG-1,مستر بین
"Christopher Birdwood, 2nd Baron Birdwood",جایزه ستلایت برای بهترین بازیگر نقش مکمل مرد – فیلم سینمایی
Google Chrome,گوگل کروم
Chu X-PO,چو-برا
Cierva C.1,سییروا سی-۱۹
Cierva C.12,فهرست مخترعان
Cierva C.17,فهرست مخترعان
Cierva C.19,سییروا سی-۱۹
Cierva C.2,سییروا سی-۸
Cierva C.24,سییروا سی-۸
Cierva C.29,سییروا سی-۸
Cierva C.3,سییروا سی-۸
Cierva C.40,سییروا سی-۸
Cierva C.8,سییروا سی-۸
Cierva C.9,سییروا سی-۸
Cierva CR Twin,سییروا سی‌آر تویین
Cierva W.9,سییروا دابلیو-۹
Мижакдорон,سنگ
Киллиан Мерфи,آتش آزاد
Синамои Бразилия,سینمای برزیل
Cirrus VK-30,همجنس‌گرایی
Турунҷ,نوشابه
CityJet,هومن برق‌نورد
CityLine Hungary,مجارستان
Civair,سجاد
Бобопирак,آدم
Clubhouse,یورگن کلوپ
Cody Floatplane,پایگاه هواپیمای شناور (دریایی) ویل راجرز-وایلی پست مموری-ال
Coelho AC-11,زیست‌شناسی
Colani Cormoran,کلواری
ColdFusion,پیتای پرسروصدا
Columbia Pictures,فیلم
Comac ARJ21,کوماک ای‌آرجی۲۱
Comac C919,کوماک سی۹۱۹
Comedy Central,کمدی
Comlux,کوملوکس
Command & Conquer: Red Alert 2,فرمان و تسخیر (مجموعه بازی)
Commercial C-1 Sunbeam,سس مایونز
Иттиҳоди Шоҳигариҳо,جنگ جهانی
Блоки Шарқӣ,بلوک شرق
Comp Air 4,فهرست محصولات ادوبی
